treeNum trajNum nleaves height origin
170 2908 102 84.6974858288 87.964141526
171 2916 131 65.7108378087 69.342374187
172 2962 187 81.157401476 81.4324581904
173 2963 158 77.1097161775 77.3856322115
174 2977 125 44.0556103154 45.5517571433
175 2986 121 115.333885014 117.509843231
176 2992 108 62.6593789355 64.9555488234
177 2998 144 69.2535060004 70.3278213717
178 3013 137 74.1586565416 74.380399143
179 3038 170 110.403342048 116.818216657
180 3073 112 52.5404696375 52.7699997183
181 3078 138 119.356688348 120.643688319
182 3080 140 152.030024369 153.206713073
183 3096 140 82.0062614945 84.3306829277
184 3097 138 60.1658021857 62.0536389251
185 3110 105 54.5895968087 60.1992772617
186 3172 166 86.9922025314 87.5297474147
187 3175 159 113.352963299 118.278232258
188 3223 119 104.922466136 105.999003688
189 3239 124 67.7460563482 72.7684594266
190 3264 101 52.7331061995 53.2917121584
191 3268 145 99.6310173919 99.9603608379
192 3320 123 55.2322258065 58.0956364896
193 3323 132 84.6046693977 84.7269953759
194 3325 195 79.1759096513 79.3526957756
195 3336 119 63.7938217254 63.8686287218
196 3349 102 57.4601119898 57.6879913219
197 3355 159 121.508438075 124.186466861
198 3380 153 99.2511665682 100.184981752
199 3381 108 107.770027005 109.916483992
200 3419 150 61.9024781715 62.0472746527
201 3432 102 76.1345654918 81.6986753798
202 3450 139 107.143867089 110.140947951
203 3461 184 100.294725716 101.127970733
204 3483 120 64.5091304951 66.9977229181
205 3488 124 49.7694775892 50.0699432204
206 3492 162 80.6608582373 81.3852435151
207 3525 138 97.5170448046 97.7849384556
208 3548 122 77.0404909987 77.3673759672
209 3565 159 59.8007982914 65.7956147759
210 3572 152 74.2039852723 75.9342631012
211 3581 140 127.087520242 128.564789613
212 3594 169 78.0906588778 78.5255247663
213 3611 123 68.3339368138 69.1688282966
214 3622 148 93.8033117688 95.7708728483
215 3655 162 76.1082138777 79.6480240185
216 3671 117 72.0590675586 73.5430898321
217 3672 192 109.319082854 110.8505893
218 3675 124 74.6159831631 78.9615866461
219 3677 165 127.832057239 128.604581289
220 3693 155 83.8034469916 89.6337815575
221 3694 115 107.554974048 108.275502075
222 3695 105 57.4393073253 62.1478208414
223 3709 143 71.1427815224 73.0061492619
224 3737 142 82.3591916754 84.5337923917
225 3765 160 106.000616531 111.586303196
226 3796 119 79.9941701271 81.3977308605
227 3798 207 98.2362135213 100.200149101
228 3799 159 83.8330665257 91.2760920187
229 3826 126 63.1737829928 63.8678132274
230 3835 133 104.859650139 106.201434262
231 3860 180 49.6978251677 52.3288537296
232 3891 123 65.7905477626 66.4248008168
233 3892 126 88.2293584173 88.2777974767
234 3916 115 74.6987135384 74.9744435463
235 3942 180 96.3622502743 98.2979672718
236 3952 112 48.9886244625 49.0784083843
237 3962 103 65.3066429678 69.4922974714
238 3992 129 60.3997883163 60.6792538814
