treeNum trajNum nleaves height origin
176 1036 195 75.7841116604 76.9646006212
177 1037 284 96.3918460536 96.6615401305
178 1040 232 93.2308178664 93.488069165
179 1046 203 86.9130841627 88.7465442836
180 1059 313 69.9756067959 71.6782171914
181 1060 285 76.0839413518 76.9854365146
182 1064 268 64.2791240432 65.3016118006
183 1069 272 83.0195580331 83.9592649989
184 1074 174 65.0352630164 72.8762248849
185 1077 298 67.4047711593 73.4152815735
186 1080 279 86.772375057 87.1400948769
187 1081 297 81.1970105478 81.6481153277
188 1087 241 124.106524407 124.791274886
189 1088 243 59.4719414993 60.292252404
190 1095 143 58.4775489445 59.2412470036
191 1101 230 72.3929547732 76.6522006965
192 1106 271 81.9912042365 84.1356466668
193 1107 243 54.7723937799 56.8712362222
194 1108 280 102.606050048 102.812683111
195 1125 223 67.6783758282 68.1633741572
196 1127 287 130.536370238 131.81584415
197 1128 135 111.277926951 112.90362754
198 1129 182 87.5597156922 94.6112693917
199 1136 148 72.2953959194 76.1606898801
200 1141 225 55.4319874247 55.5839455394
201 1149 242 69.194524146 70.3394095048
202 1150 277 93.7049446596 93.8360877875
203 1156 333 89.1431085777 92.3646489788
204 1162 303 69.3436421439 72.0648007694
205 1165 283 85.6193797878 88.6757122333
206 1171 126 57.7960743294 58.8479388119
207 1191 335 89.3325099264 89.8369095309
208 1193 219 65.0490126668 65.9146688764
209 1196 324 107.798289014 108.414247225
210 1209 344 132.489592901 140.25730628
211 1220 268 66.0530707434 66.3897015466
212 1226 146 71.4748175917 72.6585898999
213 1228 102 61.7698443724 62.2517113741
214 1236 327 60.0852882209 60.1227317063
215 1251 309 144.202223954 144.809771847
216 1252 283 74.8281858442 75.1892611689
217 1254 193 92.5477349643 93.6615567975
218 1261 221 61.4445951012 61.8824762344
219 1266 246 52.1715978966 58.0908047953
220 1275 316 93.6738711142 93.9837976578
221 1276 207 67.4271852529 67.9623865868
222 1286 274 69.2124000188 70.56537033
223 1291 231 139.904688799 141.078647626
224 1307 301 101.832387024 102.277451119
225 1309 267 70.5885456728 72.2633107967
226 1318 236 92.8351638953 94.2666039511
227 1319 257 86.7830728407 89.4810368399
228 1338 185 58.9570299808 60.0216585839
229 1341 307 82.7987110177 84.8158707995
230 1343 184 59.5409842516 67.6450605879
231 1352 299 88.7504257088 90.3391413324
232 1356 298 73.2356099028 75.2115226906
233 1358 220 114.015824445 115.509477333
234 1363 241 84.6751325103 85.1313456117
235 1366 276 93.7331284803 96.0728316514
236 1367 279 96.9177588435 99.6395179053
237 1370 374 112.329664453 113.182520414
238 1378 285 65.0046370845 68.8946585902
239 1386 214 100.015044242 105.252995707
240 1388 312 76.2265074873 77.8767773145
241 1389 304 93.3893247449 98.1259764795
242 1391 227 64.1697591562 66.4015630431
243 1397 393 105.568839288 105.684453049
244 1408 173 93.814520358 93.9296952483
245 1414 321 98.7385313424 98.863593165
246 1417 197 74.0163032522 76.4030230911
