treeNum trajNum nleaves height origin
357 1151 488 66.093695967 70.8068834159
358 1152 453 64.0399000273 64.7040673795
359 1154 432 57.1140948745 64.1278836685
360 1155 315 59.5854816602 60.6863885682
361 1160 384 58.2945770132 58.8908063075
362 1161 394 66.5632553494 66.7004858325
363 1164 392 64.8698700716 67.6829754355
364 1167 425 101.359864362 101.848034948
365 1169 343 73.2489491069 75.2978408456
366 1175 380 65.6680757496 69.2826760531
367 1178 364 68.0022370422 69.9597732943
368 1183 394 57.3730129945 58.2559226188
369 1186 374 114.287926104 114.357377799
370 1188 393 60.7895230899 61.1162187255
371 1192 362 58.4616168644 60.7870654636
372 1195 428 81.2303599903 83.7101729194
373 1199 414 84.7168766501 84.9314150037
374 1200 365 149.948273931 152.070326476
375 1202 341 79.8625117274 86.0780059219
376 1204 350 71.9330074127 74.7763745174
377 1207 430 68.2018346662 69.8972232764
378 1208 398 98.831144902 99.6919867764
379 1211 416 69.5523632945 70.0420069944
380 1212 416 89.6226706238 89.6739949921
381 1216 404 92.6088694381 93.8126597358
382 1219 396 57.1889629862 57.4968462516
383 1220 326 60.6459406507 60.6460315529
384 1225 441 87.4528641002 88.9758192
385 1228 366 68.2209818937 70.1748230291
386 1230 340 89.6309112841 90.9485313621
387 1231 337 64.6238168703 65.6128376987
388 1232 402 80.4908149773 81.5527756144
389 1235 397 59.8058065185 61.9283877384
390 1237 369 81.6633510989 82.7400193507
391 1243 372 96.6218499532 97.3764850348
392 1249 370 57.0464392288 59.766568496
393 1250 433 62.3810834533 63.089666376
394 1251 412 61.2179321773 61.2382258656
395 1254 327 74.4878801237 74.6160140583
396 1262 438 59.2661528245 59.8682178833
397 1263 408 104.948951328 106.014608758
398 1264 434 74.5957045009 75.9191077373
399 1265 368 68.7355104016 71.7287780436
400 1267 460 76.6386136479 79.3099826267
401 1271 371 55.9653833991 57.1038831586
402 1272 330 77.4063733219 79.9849551626
403 1282 363 63.1533303364 64.5169567617
404 1283 373 54.0451240233 54.469529448
405 1288 396 68.7155704164 68.8980855949
406 1290 344 88.7681111569 89.9332675663
407 1292 373 69.1575058499 70.5137171284
408 1296 343 77.9593085073 78.7697975564
409 1298 433 56.4695097418 56.8269331467
410 1301 324 77.8383639683 83.2462255715
411 1306 404 89.9191089838 90.4251440596
412 1308 308 80.5487808288 81.8386742371
413 1314 262 61.7090446319 61.8276777354
414 1316 379 67.5325650797 68.3057739214
415 1317 414 61.6644310776 63.6349484176
416 1321 320 53.4534650576 55.2231495852
417 1322 380 102.438048259 102.602324402
418 1330 331 60.5973716588 61.9440347086
419 1333 367 63.7736210566 72.6871905033
420 1334 405 60.0366081029 61.7678013361
421 1337 368 98.0676212472 98.9295813533
422 1338 408 64.6888772847 65.2229203398
423 1344 407 87.4333302608 92.3571262987
424 1346 410 74.257891866 74.5982788816
425 1348 393 104.610317978 104.82113468
426 1358 378 76.0100668777 76.4300195156
427 1360 428 79.8914267029 80.1570573434
428 1363 416 90.4397230446 90.8252129899
429 1365 345 57.9180433145 59.8765509525
430 1366 374 88.2452264721 88.9689476352
431 1369 354 79.7433436485 80.7013989762
432 1371 403 61.4550782563 61.9753632209
433 1375 412 55.0406525319 56.9639819686
434 1376 430 100.227621772 100.559034609
435 1377 341 84.5992436794 84.9215708594
436 1378 419 48.8275696491 53.3418515597
437 1381 430 57.8928276036 62.9950167011
438 1382 343 89.7486257922 89.8850543333
439 1383 398 102.324206749 107.458510921
440 1388 382 54.1988860974 56.1776761134
441 1390 423 54.6829985071 55.4867414239
442 1391 431 84.4176151873 84.5393356532
443 1392 438 72.6068411352 73.3779348758
444 1393 458 61.6655244625 63.0178307679
445 1395 261 59.3841425227 59.3905844498
446 1404 444 58.5352874677 59.2738895279
447 1405 393 64.1326110532 65.8378350646
448 1407 375 78.5784271583 80.6373798482
449 1412 437 86.4535091558 86.4764232616
450 1417 370 105.824593522 106.330329735
451 1420 367 59.5286425332 60.6416741127
452 1426 408 65.3549712891 68.91674264
453 1428 294 83.0019922708 86.019637161
454 1433 356 128.596790559 128.811292972
455 1435 359 50.6497335041 50.8605913219
456 1436 383 81.1204087196 84.4018222611
457 1438 347 68.5748577899 68.9900518357
458 1440 337 112.165541938 112.278818914
459 1441 371 86.3222447614 86.4262858578
460 1447 423 64.7021016434 65.5033307335
461 1449 409 84.3214425965 87.0387744859
462 1465 443 62.0315784291 62.1955619293
463 1467 437 63.5810518408 65.1705409497
464 1473 336 65.1210045531 67.093935034
465 1476 440 81.1967218122 82.2294917669
466 1478 277 90.1584002055 91.8353499394
467 1479 373 80.7082924438 84.0448761534
468 1495 302 76.0878608973 82.3109349563
469 1497 344 56.0045416237 56.88003157
